NOME	REGIME	ANO	NÚMERO	CURSO
Thiago Correia	normal	3	3119	MKT
Ana Luiza Costa	normal	2	7636	CONT
Lais da Luz	normal	1	2421	EC
Giovanna Ribeiro	trabalhador-estudante	2	3738	EM
Gabriela da Luz	trabalhador-estudante	3	2608	EE
 Eduarda Mendes	trabalhador-estudante	2	1046	MKT
Lucas Gabriel Novaes	trabalhador-estudante	2	7597	TDM
Diogo Peixoto	trabalhador-estudante	2	6813	GI
Agatha Farias	trabalhador-estudante	3	1615	EM
Antonio Correia	trabalhador-estudante	1	1941	GE
Rodrigo da Rocha	trabalhador-estudante	1	4378	EE
Catarina Azevedo	normal	2	5729	TDMO
Juliana Castro	normal	2	4460	EI
Maria Sophia Sales	normal	2	3579	EI
Eduarda Nunes	normal	3	7697	TDM
Agatha Jesus	trabalhador-estudante	1	7088	GI
Joana Araujo	dirigente-associativo	1	1891	EM
 Maria Vitoria Moura	normal	2	2915	CONT
Kamilly Alves	normal	3	7477	TUR
Diego da Mota	normal	2	7286	EA
Maria Vitoria Moura	normal	1	6591	EI
Ana Vitoria Cardoso	normal	1	1639	GE
Eduardo Mendes	normal	2	1363	EA
Lucas Gabriel da Paz	normal	2	7443	GI
Erick Ramos	normal	2	7496	CONT
Vitor Hugo Silva	normal	2	1243	EM
Lucas Gabriel Silva	normal	1	2328	EC
Daniela da Mota	normal	2	2561	GI
Joao Pedro Mendes	normal	3	1189	TUR
Ana Carolina Fogaca	normal	1	3903	TDMO
Davi Lucas Monteiro	normal	1	3436	TUR
Valentina Monteiro	normal	1	7004	TUR
Enzo Gabriel da Rocha	normal	2	1335	TUR
Andre Jesus	normal	1	5474	GI
Amanda da Rocha	normal	1	6665	EE
Caue da Luz	normal	2	5941	EA
Marcelo Goncalves	normal	3	3880	EE
Barbara da Rosa	normal	1	6895	MKT
Luiz Gustavo Jesus	normal	3	1804	GE
Ana Martins	normal	1	4894	TUR
Davi Lucca das Neves	normal	3	1996	EA
 Yasmin Costa	normal	3	6568	EE
Emanuella Fogaca	normal	3	5942	EE
Danilo Porto	normal	3	4616	GE
Carolina Fernandes	normal	2	5129	GE
Maria Clara Cunha	normal	1	4536	EM
Pedro Miguel Rezende	normal	1	7842	GE
Lorenzo Dias	normal	2	2559	EA
Eduardo da Cunha	normal	2	3306	MKT
Melissa Fogaca	normal	3	5586	EM
Sophie Rezende	normal	3	4984	TDM
Otavio Alves	normal	2	2396	TDM
Ana Carolina Novaes	normal	2	1943	EC
Luiz Gustavo Nunes	normal	2	2832	TDMO
Diego Ribeiro	normal	1	1408	MKT
 Enrico Aragao	normal	1	2653	TDMO
Alicia Correia	normal	3	1748	EI
Marcelo Nascimento	normal	1	3924	MKT
Maria Eduarda Dias	normal	1	7966	EC
Gabriela Rezende	normal	3	1974	EA
Paulo Jesus	normal	3	4990	GI
Diogo Mendes	normal	2	3315	EE
Pietra da Rosa	normal	2	1496	EE
Guilherme Jesus	normal	2	1210	EE
Fernando Correia	normal	2	7993	EA
Joao Vitor Lima	normal	3	7974	EI
 Ana Clara da Rocha	normal	1	6294	EM
Raquel Caldeira	normal	1	2045	MKT
Luna Souza	normal	3	4011	GI
Murilo Pereira	normal	1	2283	EC
Levi Jesus	normal	2	2910	MKT
Alexandre Novaes	normal	1	2786	GE
Laura Lopes	normal	1	3515	TDMO
Rafael Duarte	normal	2	7156	MKT
Daniela Correia	normal	3	7609	TDMO
Emanuelly Nascimento	normal	1	2626	EM
Davi Lucca Rocha	normal	3	6641	GE
Maria Cecilia Gomes	normal	1	4479	TDMO
Igor Novaes	normal	1	3407	TDMO
Clarice da Mata	normal	1	5319	TDMO
 Enzo das Neves	normal	2	7027	EC
Raul Jesus	normal	3	4153	GE
Lucca Carvalho	normal	1	7765	TDMO
Juliana Rezende	normal	1	7680	EA
Calebe da Rocha	normal	1	4474	TDM
Clarice Ramos	normal	2	2824	CONT
Sarah Costa	normal	1	7269	EA
Ana Julia Nunes	normal	1	5144	CONT
 Laura da Conceicao	normal	3	1856	TUR
Igor da Costa	normal	1	6200	TDM
Joao Miguel Rezende	normal	1	3329	EM
Joao Guilherme Pereira	normal	3	1565	EA
 Mariane Monteiro	normal	3	5029	MKT
Raul da Paz	normal	2	1386	EE
 Joaquim da Luz	normal	2	6766	GI
Diogo Cardoso	normal	1	2217	EC
Maria Eduarda Monteiro	normal	2	3362	GI
Ana Laura Dias	normal	3	3500	GI
Emanuelly Carvalho	normal	1	7970	EE
Lucca Alves	normal	1	6987	GI
Thales Barbosa	normal	3	6957	GE
 Enzo Gabriel Pires	normal	2	3879	GE
 Maria Julia Araujo	normal	3	3370	MKT
Marcelo Gomes	normal	3	2859	EE
Maria Luiza Fogaca	normal	2	6400	TUR
Vitoria Moura	normal	1	5076	CONT
Yasmin Rodrigues	normal	2	1319	TUR
Diogo Goncalves	normal	2	7839	EM
Carlos Eduardo Freitas	normal	2	2022	MKT
 Bernardo Gomes	normal	2	6025	TDMO
Maria Eduarda Caldeira	normal	3	7901	EE
Rebeca Lopes	normal	2	6687	MKT
 Heitor Barbosa	normal	2	3774	TUR
Levi Ribeiro	normal	1	2965	EC
 Maria Eduarda da Cruz	normal	2	2977	MKT
Ana Sophia da Mata	normal	3	1544	CONT
Joao Lucas Rezende	normal	3	6566	EA
Otavio Costela	normal	3	5032	EE
Renan Costela	normal	1	5706	EA
Miguel Pires	normal	2	3430	TUR
 Rafael Caldeira	normal	2	6160	EC
Isadora Barbosa	normal	1	4398	TDMO
Heloisa Pereira	trabalhador-estudante	3	3626	TDM
Carlos Eduardo Mendes	trabalhador-estudante	3	7321	EA
Isis da Conceicao	trabalhador-estudante	3	2758	EM
Danilo Aragao	trabalhador-estudante	3	3079	CONT
Maria Fernanda Silva	trabalhador-estudante	1	3160	GE
Isabella Ramos	trabalhador-estudante	3	4535	TUR
Maria Luiza Rocha	trabalhador-estudante	3	7186	EM
Isadora Costela	trabalhador-estudante	3	2811	GI
Amanda Ribeiro	trabalhador-estudante	2	3421	TDM
 Alana Cardoso	trabalhador-estudante	3	3820	EM
Maria Sophia Dias	trabalhador-estudante	3	1604	EE
Stella Souza	trabalhador-estudante	1	7720	EC
Fernando Pires	trabalhador-estudante	1	7783	EM
Beatriz Barros	trabalhador-estudante	2	4973	EI
Davi Porto	trabalhador-estudante	1	6874	EE
 Kevin Novaes	trabalhador-estudante	1	4725	MKT
Joao Lucas Novaes	trabalhador-estudante	3	7832	TDMO
Larissa Costa	fdsgd	1	3620	MKT
Lucca Fogaca	Erasmus	2	7092	EM
Maysa Monteiro	Erasmus	3	6768	GI
 Amanda Pinto	Erasmus	2	7034	TDMO
 Kaique Dias	normal	1	3332	GE
 Joao Felipe Araujo	normal	3	7475	TDM
Davi Luiz da Luz	normal	3	1884	MKT
Juan Santos	normal	3	5008	GE
 Marina Barros	normal	2	5215	TDMO
Luiz Felipe Rocha	normal	2	5057	TUR
Alana Pereira	normal	3	3472	EE
Danilo Fogaca	normal	2	1792	TDM
Danilo da Rocha	normal	3	1530	EA
Marina da Rosa	normal	1	6239	CONT
Marcos Vinicius Novaes	normal	2	3485	EA
Vicente Costa	Erasmus	1	1118	EM
Lais Carvalho	normal	2	2972	TDMO
Caue Rezende	normal	3	4860	EE
Luna Peixoto	normal	3	1922	CONT
Alexandre Mendes	normal	3	4183	EM
Ana Sophia Melo	normal	3	3535	GI
Yuri Cardoso	normal	2	3373	GI
 Eduarda Lopes	normal	3	6436	MKT
Rafaela da Cruz	normal	1	1660	TDM
 Marcela da Rosa	normal	3	2119	TUR
Pietra Goncalves	normal	3	5155	CONT
Maria Fernanda Lopes	normal	1	6217	TDMO
 Camila da Costa	normal	2	5692	EM
Nathan Novaes	normal	1	1313	GE
Maria Alice Teixeira	normal	1	6649	EC
 Enrico Monteiro	normal	1	1976	EI
Alicia Viana	normal	1	1071	CONT
 Elisa Lima	normal	2	3685	EE
Paulo Novaes	normal	2	1940	TDM
 Thiago da Cruz	normal	1	4007	TDM
Lavinia Barbosa	normal	1	5146	EE
Eduarda Lima	normal	3	7939	GI
 Rodrigo Campos	normal	1	4101	TDMO
Maysa da Luz	normal	1	5385	CONT
Pietra da Luz	normal	3	3146	CONT
Maria Vitoria da Luz	normal	2	6487	TUR
Ana Sophia Rezende	normal	2	6056	EM
Kaique da Rocha	normal	3	7715	MKT
Vitor Gabriel Peixoto	normal	1	3425	TDMO
Sabrina Peixoto	normal	1	1143	CONT
Thomas Novaes	normal	1	2042	TDMO
Luiz Fernando da Luz	normal	1	5881	EI
Vinicius Caldeira	normal	1	6187	EC
Davi Duarte	normal	1	4614	TDM
Bryan Rocha	normal	1	2422	EC
Alice Correia	normal	3	1466	GI
Esther Costa	normal	2	6731	EM
 Clara Sales	normal	2	1497	TDMO
Pietra Cunha	normal	2	1376	TUR
Noah Pires	normal	2	2166	TUR
Luana Lima	normal	2	1766	EA
Diego Fogaca	normal	1	1827	TDM
Raquel Silva	normal	2	6509	TUR
Theo Peixoto	normal	3	1836	EI
 Mariane Mendes	normal	2	3969	EI
 Julia Costa	normal	3	6245	MKT
 Fernanda da Rosa	normal	3	1449	EI
Isaac Fogaca	normal	2	7372	EE
Lara Campos	normal	3	2515	GI
 Caue Sales	normal	2	7828	EE
 Vitor Gabriel Nogueira	normal	3	1631	TUR
Ana Julia Goncalves	normal	2	7776	GE
Clara Costa	normal	2	3993	EM
Ana da Cunha	normal	2	6860	EI
Maysa da Mota	normal	2	4332	GI
 Eduardo Souza	normal	2	1952	MKT
 Maysa Nogueira	normal	1	7905	EM
Isaac da Rocha	normal	1	5798	EE
Lavinia Monteiro	normal	2	2083	GI
Diego Pereira	normal	1	4825	EA
Ana Luiza Almeida	normal	2	7293	TDMO
Levi Caldeira	normal	2	5621	EI
Elisa Lopes	normal	2	5358	EC
Davi Luiz da Cruz	normal	1	3631	CONT
Isabel Goncalves	normal	1	6884	EC
Maria Fernanda Duarte	normal	1	1278	CONT
Joaquim Nogueira	normal	1	2124	EE
Gabriela da Luz	normal	1	4628	CONT
Larissa Moura	normal	3	1527	GI
Joao Miguel da Luz	normal	3	5467	TDMO
Isadora Silveira	normal	1	7926	GE
Diego Caldeira	normal	2	2897	TDMO
Maria Eduarda Santos	normal	1	4720	EI
Natalia Ramos	normal	2	5893	GE
Anthony Barbosa	normal	3	3132	TUR
 Enzo Gabriel Ribeiro	normal	1	2982	EC
Arthur Cavalcanti	normal	2	5285	GI
Murilo Cardoso	normal	3	6780	TDMO
Manuela Costela	normal	2	3525	EC
Pietro Cavalcanti	normal	2	5387	CONT
Beatriz Monteiro	normal	2	7989	GE
Sophie Teixeira	normal	1	3034	GE
Renan Nogueira	normal	2	7777	GI
Leandro da Mata	normal	2	5116	CONT
 Caue da Paz	normal	2	2652	TDM
Isaac Almeida	normal	1	5397	TDM
Rodrigo da Conceicao	normal	1	7528	GE
Matheus Dias	normal	1	2093	MKT
 Vinicius Moraes	normal	2	2109	MKT
Lucas Gabriel Costela	normal	3	3458	TDM
 Ana Julia Silveira	normal	3	2535	CONT
Renan Vieira	normal	2	3176	EI
Lorena Nunes	normal	1	4571	EE
Isaac Teixeira	normal	3	2218	EA
Pedro Miguel da Mota	normal	1	2568	CONT
Luiz Gustavo Costa	normal	2	4526	CONT
Diogo Silva	normal	2	6290	GE
Stephany Moreira	normal	2	1290	TUR
Maria Vitoria Farias	normal	2	3608	TUR
Luna da Cunha	normal	2	1200	MKT
 Marina Pinto	normal	1	6365	TDM
Livia da Paz	normal	1	7445	EA
Bruno Freitas	normal	2	1267	EM
Amanda Barros	normal	3	5959	TDM
Emanuel Cavalcanti	normal	3	3862	TDMO
Lavinia Silveira	normal	1	7201	EA
Fernando Rocha	normal	3	7225	TDMO
 Paulo Santos	normal	1	4987	EA
Ana Laura Cunha	normal	2	7500	TDM
 Arthur Fernandes	normal	3	2913	TDMO
Amanda Nunes	normal	3	2638	CONT
 Pietra da Rosa	normal	1	3357	MKT
Enrico Barros	normal	3	7987	MKT
Joao Miguel Lopes	normal	3	7611	GE
Lavinia Lopes	normal	3	1948	TDMO
Pedro Henrique Sales	normal	1	7631	EE
Pietro Pires	normal	1	4923	MKT
Bianca Moraes	normal	1	2076	EI
Davi Lucca Farias	normal	3	7451	EC
Maria Sophia Pereira	normal	2	4671	TDMO
Eduarda Cardoso	normal	3	7587	CONT
Isabella Moura	normal	1	6730	TDMO
Antonio Sales	normal	2	5108	EC
Levi Silveira	normal	2	2239	CONT
 Melissa Fogaca	normal	3	2526	TDMO
Maria Jesus	normal	1	5619	GE
Ian Pires	normal	1	7415	EI
Maria Vitoria da Mata	normal	2	6698	TUR
Bruna Silveira	normal	2	5030	EC
Joao Felipe Pinto	normal	3	4921	TDM
Guilherme Nunes	normal	3	7337	EC
Igor da Mata	normal	3	2604	GI
 Carolina Freitas	normal	1	6342	GI
Bianca Silveira	normal	1	7619	TDMO
 Sarah Alves	normal	2	6724	EI
Larissa Azevedo	normal	2	3381	TUR
Natalia da Conceicao	normal	3	4015	GI
Bernardo Lima	normal	1	1034	EI
Enrico Cardoso	normal	2	7143	TDM
Agatha Ferreira	normal	3	6178	MKT
Anthony Martins	normal	1	4335	EI
 Gustavo Porto	normal	2	4698	EA
Olivia Freitas	normal	1	4569	EM
Julia Pires	normal	3	6638	EE
Joana Porto	normal	3	6537	EI
Ian Novaes	normal	3	2092	EC
Elisa Moura	normal	2	7855	EM
 Vitor Gabriel Rodrigues	normal	3	5907	TDM
Bruna Teixeira	normal	2	1102	EE
Gustavo Henrique Farias	normal	3	7280	EM
 Giovanna da Mota	normal	1	6015	GI
 Kaique Costa	normal	2	1115	MKT
Livia Correia	normal	3	6764	EA
Kamilly Porto	normal	1	5556	EC
Erick Nogueira	normal	1	1185	GE
Fernando Campos	normal	1	3934	GI
Yuri Azevedo	normal	1	1903	EI
Luigi Pires	normal	3	5019	GI
Stella da Cunha	normal	1	3008	EM
Davi Luiz Duarte	normal	3	1083	TDMO
 Ana Clara Azevedo	normal	1	7064	GI
 Guilherme das Neves	normal	2	4118	EA
Gabrielly Dias	normal	1	6823	TDM
Raquel Nogueira	normal	3	5960	EI
Maria Cecilia Nascimento	normal	3	6503	CONT
Julia da Mata	normal	3	6828	EI
Calebe das Neves	normal	3	3586	EC
Rebeca Alves	normal	2	5861	EM
Thiago Viana	normal	3	1153	TUR
Bianca Ferreira	normal	2	2078	EA
 Lavinia Sales	normal	3	7375	TDM
Maria Clara Farias	normal	3	2216	TUR
Vitor Cardoso	normal	2	5286	EC
Isis Silva	normal	1	6541	TUR
Luna Cardoso	normal	1	6531	CONT
Livia Silveira	normal	1	6935	TUR
Arthur Peixoto	normal	3	6057	EM
Emanuelly Melo	normal	1	5918	EA
Pedro Lucas Fernandes	normal	3	1092	GI
Samuel Barros	normal	1	5061	TDMO
Augusto Souza	normal	1	5797	TDM
Francisco Silva	normal	2	2440	EA
Nicolas Porto	normal	1	5218	CONT
Lorenzo da Conceicao	normal	3	4931	EI
Ian Moura	normal	1	4737	CONT
Maria Clara Freitas	normal	2	6036	CONT
Joao Guilherme Farias	normal	1	2816	EE
Maria Eduarda Oliveira	normal	2	2820	TDMO
Erick Rezende	normal	2	7065	TDM
Lorena Pinto	normal	2	3865	TDMO
Marcos Vinicius da Rocha	normal	2	4035	GI
Valentina Fogaca	normal	3	3642	MKT
Cecilia Rezende	normal	2	4012	TUR
Juliana Moreira	normal	2	4379	TUR
Bernardo Pires	normal	1	1812	GE
Ana Teixeira	normal	1	2835	EA
Isaac Cardoso	normal	3	2764	EC
Benjamin da Mata	normal	1	1928	GE
Levi Moura	normal	3	3817	EM
 Luiz Felipe da Conceicao	normal	3	5958	TDMO
Sarah Carvalho	normal	2	3765	TDM
Marcelo Rocha	normal	3	6095	EI
Isis da Mata	normal	1	5211	EC
Rodrigo Silva	normal	1	4468	MKT
Maria Eduarda Cardoso	normal	2	1900	TDM
Leticia Rocha	normal	3	4584	MKT
Davi Lucca Rodrigues	normal	3	3930	EC
Pietra Nascimento	normal	3	5928	EI
Erick Fernandes	normal	2	5961	EA
Joao Gabriel Gomes	normal	3	1085	EI
Matheus da Rocha	normal	2	4338	TUR
Caua Vieira	normal	2	3206	MKT
Joao Miguel Campos	normal	2	5615	TDM
Raul Mendes	normal	3	2066	EC
Bruna Fogaca	normal	3	3173	MKT
Ana Livia Alves	normal	3	7794	CONT
Lucas da Rosa	normal	1	7630	GE
Isabella Peixoto	normal	1	3469	TDM
Marina Costa	normal	3	5671	EA
Lucas Alves	normal	3	4514	TUR
Larissa Pereira	normal	1	3218	EA
 Augusto da Luz	normal	2	1454	TDM
Lais Cardoso	normal	1	7057	GE
Yasmin da Paz	normal	2	6792	EA
Danilo Gomes	normal	1	1709	GI
 Gustavo Henrique Rocha	normal	3	6248	CONT
Clarice da Cruz	normal	3	7009	TUR
Gabriela Cavalcanti	normal	1	4564	TUR
Samuel Martins	normal	1	7497	GE
Antonio Alves	normal	2	7183	EI
Fernando Viana	normal	2	3513	TUR
Vitor da Cunha	normal	1	4751	EA
Vinicius Pereira	normal	3	2381	EC
Mariana da Mota	normal	3	7357	TDM
Samuel da Mata	normal	2	4171	GI
 Vitoria da Conceicao	normal	1	2323	EI
Nina Dias	normal	1	5590	CONT
Thomas Pinto	normal	1	5530	MKT
Caroline Alves	normal	2	6995	EM
Larissa Alves	normal	2	5085	TDM
 Leticia Cunha	normal	3	4137	GE
Ana Clara Cardoso	normal	2	4375	MKT
Guilherme Sales	normal	2	3445	MKT
Alexia Fogaca	normal	3	3254	TDM
Francisco Fernandes	normal	1	6550	EC
Bianca Ramos	normal	3	7444	MKT
 Fernanda Farias	normal	1	2038	GE
 Ana Julia Souza	normal	3	7465	EA
Ana Costela	normal	2	1878	MKT
Caio Teixeira	normal	1	7739	GE
 Kevin das Neves	normal	3	3359	TUR
Emanuella Santos	normal	3	6193	EE
 Vinicius Correia	normal	1	5145	EC
 Davi Luiz Fogaca	normal	3	4951	TUR
Paulo Carvalho	normal	1	5545	EM
Maysa Moreira	normal	3	1148	GI
Agatha Azevedo	normal	3	3572	EA
Carlos Eduardo das Neves	normal	1	4606	GI
Alice Lima	normal	3	7343	GE
Enrico Lima	normal	3	2908	MKT
 Mariana Santos	normal	3	7122	EC
Erick da Cunha	normal	1	5678	TUR
Enzo Gabriel Silva	normal	1	3592	EE
Lara Correia	normal	2	6190	EE
Emanuel Nunes	normal	1	3772	MKT
 Fernando Costela	normal	2	6735	EM
 Pietro Mendes	normal	3	6131	MKT
Ana Teixeira	normal	2	6758	MKT
Vinicius Porto	normal	1	6350	GI
 Stella Araujo	normal	1	3766	TDMO
Joao Gabriel da Rosa	normal	2	7904	GE
 Isabella da Rosa	normal	1	4127	TDMO
 Maite Moura	normal	1	4748	TUR
Milena da Paz	normal	1	4971	EI
Amanda Santos	normal	1	1000	EI
Esther Silva	normal	1	4950	GE
Joao Lucas Cardoso	normal	2	5413	EC
Sarah Duarte	normal	3	7581	TDMO
Gustavo Henrique Porto	normal	3	7686	CONT
Ana Julia Nunes	normal	2	4848	GI
 Lucas Gabriel Araujo	normal	2	4623	MKT
 Kamilly Pires	normal	1	6026	GE
Bruno Lopes	normal	3	2660	CONT
Marcela Novaes	normal	3	5944	TDMO
Joao Pedro Pires	normal	2	3808	EA
Benjamin da Rosa	normal	1	1610	GE
Augusto Freitas	normal	2	1079	EA
Ana Sophia Nogueira	normal	1	7719	GI
Henrique Pinto	normal	3	5330	TUR
 Luiz Felipe da Costa	normal	1	6133	MKT
Matheus Nogueira	normal	3	4935	GI
Leonardo Cardoso	normal	1	4351	EA
Isaac Ferreira	normal	1	3177	GI
Marcelo Martins	normal	2	2669	EA
Thomas Barros	normal	3	5504	TDM
Elisa da Costa	normal	1	4126	MKT
Catarina Rezende	normal	2	1326	TDM
Daniel Nogueira	normal	1	6431	GI
Joao Guilherme da Paz	normal	1	4355	TUR
Catarina da Rosa	normal	2	3945	EA
Erick Dias	normal	1	4909	EE
 Lorenzo das Neves	normal	1	2634	MKT
Joao Guilherme Pinto	normal	1	1371	EM
Sarah Costela	normal	2	7568	EE
Davi Luiz Moreira	normal	1	2958	EM
Stephany Cavalcanti	normal	3	6701	GI
Isabelly Martins	normal	3	5837	TDMO
Lucca Fernandes	normal	3	6597	EA
Joana Campos	normal	1	5897	MKT
Thiago Souza	normal	2	2077	EC
 Calebe Costa	normal	3	7973	EA
 Alexandre da Mata	normal	1	7522	CONT
Gustavo Henrique Barbosa	normal	3	4365	TDMO
Eduarda Gomes	normal	2	5708	TDM
Heloisa Pinto	normal	3	5905	EI
Diogo Martins	normal	1	5547	TUR
Lais Monteiro	normal	2	3257	EC
Rodrigo Ribeiro	normal	1	3222	CONT
Pedro Moraes	normal	3	4024	GE
Maria Eduarda Ramos	normal	1	2030	TDM
Joaquim Moraes	normal	2	4403	TUR
Joaquim das Neves	normal	3	2789	EI
Brenda da Mata	normal	1	7061	CONT
Ana Julia Viana	normal	1	1329	MKT
Nina Pereira	normal	3	3674	MKT
 Joana Correia	normal	3	2848	EI
Leticia da Cunha	normal	1	7954	CONT
Luna Correia	normal	3	3273	MKT
Luiza Correia	normal	3	1486	EE
 Sofia Fogaca	normal	1	3081	GE
Luna Moura	normal	1	6772	MKT
Joao Pedro Ferreira	normal	2	6611	EM
 Yago da Paz	normal	2	6473	GE
Lucas Moreira	normal	3	2533	EM
Pietro Pereira	normal	2	1141	TUR
Henrique da Costa	normal	1	4139	TDM
Lucca Nogueira	normal	3	5800	MKT
 Gustavo Porto	normal	2	7094	TDM
Danilo Caldeira	normal	3	2184	EM
Benjamin Silveira	normal	1	6325	EI
Emanuel da Cunha	normal	3	2983	TDMO
 Nicolas Teixeira	normal	3	6500	TDM
Nicole Melo	normal	1	3249	TDM
Caua Caldeira	normal	3	2655	MKT
Nicolas Costela	normal	1	4369	EC
 Vitor Gabriel Goncalves	normal	1	7112	EI
Antonio Souza	normal	1	2798	GI
Fernando Silva	normal	1	2325	CONT
Maria Clara Freitas	normal	1	3128	GI
Samuel Araujo	normal	2	5695	TDM
Bruna Pereira	normal	3	7922	EE
Camila Carvalho	normal	1	2404	TUR
Daniel Costa	normal	2	5805	TDM
 Stephany Moura	normal	1	6271	MKT
Ana Julia Almeida	normal	1	2698	EE
 Guilherme Teixeira	normal	1	1854	EA
