NOME	DOCENTE	ANO	SEMESTRE
Gestão Logística e Operacional	Prof. Inês Gonçalves	2	2
Produção Multimédia II	Prof. Manuel Ribeiro	2	2
Publicidade	Prof. Catarina Alves	2	2
Empreendedorismo	Prof. Pedro Costa	3	1
Estudos de Mercado	Prof. Carla Santos	3	1
Marketing Digital	Prof. Marta Machado	3	1
Marketing Sensorial	Prof. Margarida Martins	3	1
Negócios Internacionais	Prof. Diogo Fonseca	3	1
Decisões de Investimento e Financiamento	Prof. Marcelo Rodrigues	3	2
Recursos Humanos	Prof. Nuno Oliveira	3	2
Contabilidade Financeira I	Prof. Teresa Pinto	1	1
Introdução à Gestão	Prof. Luís Almeida	1	1
Matemática I	Prof. Marta Gomes	1	1
Microeconomia	Prof. Daniela Fernandes	1	1
Noções Fundamentais de Direito	Prof. Filipe Sousa	1	1
Tecnologias de Informação e Gestão	Prof. André Silva	1	1
Contabilidade Financeira II	Prof. Maria Neves	1	2
Direito de Empresa	Prof. João Costa	1	2
Economia de Empresa	Prof. Raquel Alves	1	2
Empreendedorismo	Prof. Bruno Martins	1	2
Macroeconomia	Prof. Sofia Rodrigues	1	2
Matemática II	Prof. Carlos Gonçalves	1	2
Cálculo Financeiro	Prof. Ana Ribeiro	2	1
Contabilidade de Gestão I	Prof. Ricardo Oliveira	2	1
Estatística	Prof. Inês Machado	2	1
Estratégia Empresarial	Prof. Manuel Pinto	2	1
Marketing	Prof. Catarina Fernandes	2	1
Gestão das Operações	Prof. Pedro Gomes	2	1
Complementos de Contabilidade Financeira	Prof. Carla Almeida	2	1
Análise Financeira	Prof. Marta Santos	2	2
Contabilidade de Gestão II	Prof. Margarida Neves	2	2
Gestão de Recursos Humanos	Prof. Diogo Alves	2	2
Comportamento do Consumidor	Prof. Marcelo Costa	2	2
Fiscalidade I (Ramo Organização e Gestão)	Prof. Nuno Martins	2	2
Investigação Operacional	Prof. Teresa Fernandes	2	2
Contabilidade Pública	Prof. Luís Sousa	2	2
Fiscalidade I (Ramo Contabilidade e Fiscalidade)	Prof. Marta Oliveira	2	2
Relato Financeiro	Prof. Daniela Pinto	2	2
Direito do Trabalho	Prof. Filipe Rodrigues	3	1
Gestão Financeira	Prof. André Gomes	3	1
Sistemas de Controlo de Gestão	Prof. Maria Almeida	3	1
e-Business	Prof. João Fernandes	3	1
Estudos de Mercado	Prof. Raquel Santos	3	1
Negócios Internacionais	Prof. Bruno Neves	3	1
Ética e Deontologia	Prof. Sofia Alves	3	1
Fiscalidade II	Prof. Carlos Mart	3	1
Sistemas de Informação Contabilísticos	Prof. Ana Oliveira	3	1
Liderança	Prof. Ricardo Pinto	3	2
Pensamentos Contemporâneos da Gestão	Prof. Inês Fernandes	3	2
Auditoria Financeira	Prof. Manuel Gonçalves	3	2
Complementos de Fiscalidade	Prof. Catarina Martins	3	2
Álgebra Linear e Geometria Analítica	Prof. Pedro Santos	1	1
Análise Matemática I	Prof. Carla Alves	1	1
Dinâmica dos Sistemas Terrestres	Prof. Marta Neves	1	1
Ecologia e Conservação da Natureza	Prof. Margarida Rodrigues	1	1
Introdução à Engenharia e ao Ambiente	Prof. Diogo Gomes	1	1
Química Geral	Prof. Marcelo Fernandes	1	1
Análise Matemática II	Prof. Nuno Pinto	1	2
Aplicações para Engenharia do Ambiente	Prof. Teresa Oliveira	1	2
Física Geral	Prof. Luís Almeida	1	2
Microbiologia	Prof. Marta Martins	1	2
Química Orgânica	Prof. Daniela Gonçalves	1	2
Tratamento Estatístico de Dados	Prof. Filipe Sousa	1	2
Fenómenos de Transferência	Prof. André Silva	2	1
Mecânica dos Fluidos	Prof. Maria Almeida	2	1
Métodos de Análise Química	Prof. João Fernandes	2	1
Métodos Numéricos	Prof. Raquel Santos	2	1
Operações Unitárias e Reatores	Prof. Bruno Neves	2	1
Termodinâmica	Prof. Sofia Alves	2	1
Cartografia e Sistemas de Informação Geográfica	Prof. Carlos Martins	2	2
Combustão e Controlo de Emissões Gasosas	Prof. Ana Oliveira	2	2
Hidrologia e Recursos Hídricos	Prof. Ricardo Pinto	2	2
Laboratórios de Aplicação	Prof. Inês Fernandes	2	2
Poluição e Qualidade da Água	Prof. Manuel Gonçalves	2	2
Acústica e Poluição Sonora	Prof. Catarina Martins	3	1
Gestão e Tratamento de Resíduos	Prof. Pedro Santos	3	1
Laboratórios de Engenharia do Ambiente	Prof. Carla Alves	3	1
Poluição e Reabilitação dos Solos	Prof. Marta Neves	3	1
Tratamento de Água	Prof. Margarida Rodrigues	3	1
Energia Sustentável	Prof. Diogo Gomes	3	2
Instrumentos de Apoio à Decisão	Prof. Francisco Dias	3	2
Poluição e Qualidade do Ar	Prof. Duarte Lima	3	2
